"District_en","District_cn","Name_en","Name_cn","Address_en","Address_cn","GIHS","Court_no_en","Court_no_cn","Ancillary_facilities_en","Ancillary_facilities_cn","Opening_hours_en","Opening_hours_cn","Phone","Remarks_en","Remarks_cn","Longitude","Latitude"
"Kowloon City","九龍城區","Kowloon Tsai Park","九龍仔公園","13 Inverness Road, Kowloon City, Kowloon.","九龍城延文禮士道13號 ","TU73gtwMei","2","2","<ul>\r\n<li>Men&rsquo;s and ladies&rsquo; changing rooms and toilets</li>\r\n<li>Kiosk</li>\r\n<li>Fee-charging car park (including 1 designated disabled parking space)</li>\r\n<li>Other facilities include a natural turf soccer pitch, 2 elderly fitness corners, a bauhinia garden, a jogging track of length 550m, a roller skating rink, a pebble path, 2 hard-surface 7-a-side soccer pitches, 2 hard-surface basketball courts, a children's playground and a dog garden.</li>\r\n<li>Barrier Free Facilities: Accessible Toilet, Tactile Guide Path, Braille Directory Map/Floor Plan</li>\r\n</ul>","<ul>\r\n<li>公園內設有男、女更衣室及洗手間(設有暢通易達洗手間)</li>\r\n<li>小食亭</li>\r\n<li>收費停車場(設有1個殘疾人士專用車位)</li>\r\n<li>其他設施包括1個天然草地足球場、2個長者健體園地、1個洋紫荊園、1條550米長的緩跑徑、1個滾軸溜冰場、1條卵石徑、2個硬地7人足球場、2個硬地籃球場、1個兒童遊樂場和1個狗公園。</li>\r\n<li>無障礙設施：暢通易達洗手間、觸覺引路帶、觸覺點字及觸覺平面圖</li>\r\n</ul>","8 am to 11 pm daily","每日上午8時至晚上11時","2336 7878","","","114-11-0","22-19-57"
"Tai Po","大埔區","Kwong Fuk Football Ground","廣福球場","Kwong Fuk Road, Tai Po, N.T.","大埔廣福道","UAAoTpvDlc","1","1","<ul>\r\n<li>Men's and ladies' toilets cum changing rooms</li>\r\n<li>Barrier Free Facilities: Accessible Toilet, Tactile Guide Path, Braille Directory Map/Floor Plan</li>\r\n</ul>","<ul>\r\n<li>男、女洗手間連更衣室</li>\r\n<li>無障礙設施：暢通易達洗手間、觸覺引路帶、觸覺點字及觸覺平面圖</li>\r\n</ul>","8:00am to 11:00pm","每日上午8時至晚上11時","(852) 2653 3447 / (852) 3183 9020","","","114-10-16","22-26-51"
"Tai Po","大埔區","Kwong Fuk Park Football Pitch","廣福公園足球場","Kwong Chun Street, Tai Po, N.T.","大埔廣進街","oQ8gA4SvTu","1","1","<ul>\r\n<li>1 fee-charging car park with 51 parking spaces (including 1 accessible parking space)</li>\r\n<li>Men's and ladies' toilets cum changing rooms</li>\r\n<li>Barrier Free Facilities: Accessible Toilet, Tactile Guide Path, Visual Fire Alarm System, Braille Directory Map/Floor Plan</li>\r\n</ul>","<ul>\r\n<li>1個設有51個車位的收費停車場 (包括1個暢通易達停車位)</li>\r\n<li>男、女洗手間連更衣室</li>\r\n<li>無障礙設施：暢通易達洗手間、觸覺引路帶、視像火警警報、觸覺點字及觸覺平面圖</li>\r\n</ul>","8:00am to 11:00pm","每日上午8時至晚上11時","(852) 2653 4074 / (852) 2653 3447 / (852) 3183 9020","","","114-10-26","22-26-43"
"Tuen Mun","屯門區","Wu Shan Recreation Playground","湖山遊樂場","Wu Shan Road, Tuen Mun ","屯門湖山路","cUy06sybmG","1","1","<li>Spectator Stand, First Aid Room, Office, Light Refreshment Kiosk, Drinking Fountain, Ladies' and Men's Changing Room & Toilet</li>\r\n<li>\r\nBarrier Free Facilities: Accessible Toilet, Tactile Guide Path, Braille Directory Map/Floor Plan</li>\r\n","<li>看台、救傷室、辦事處、小食亭、飲水機、男女更衣室及洗手間</li>\n<li>\n無障礙設施：暢通易達洗手間、觸覺引路帶、觸覺點字及觸覺平面圖</li>\n","8 am to 11 pm daily","每日上午8時至晚上11時","2463 7597","Provide Locker at Changing Room","更衣室內提供貯物櫃","113-57-57","22-22-47"
"Sai Kung","西貢區","Po Tsui Park","寶翠公園","Yuk Nga Lane, Tseung Kwan O","將軍澳毓雅里","fWDZXFWOpJ","1","1","<li>Changing rooms and toilets</li><li>Floodlights</li><li>Barrier Free Facilities: Accessible Toilet, Tactile Guide Path","<li>更衣室及洗手間</li><li>設有泛光燈</li><li>無障礙設施：暢通易達洗手間、觸覺引路帶","8am– 11pm","早上8時至晚上11時","2703 7231","","","114-15-11","22-19-30"
"Sha Tin","沙田區","Ma On Shan Recreation Ground","馬鞍山遊樂場","No. 1 Hang Hong Street, Ma On Shan","馬鞍山恆康街1號","BoFdhWi6LD","1","1","<ul>\r\n<li>Men's and Ladies' toilets cum changing rooms</li>\r\n<li>Accessible toilet</li>\r\n<li>Lockers</li>\r\n<li>First-aid Room</li>\r\n<li>Equip with Floodlights</li>\r\n</ul>","<ul>\r\n<li>男、女洗手間連更衣室</li>\r\n<li>暢通易達洗手間</li>\r\n<li>儲物櫃</li>\r\n<li>救傷室</li>\r\n<li>設有泛光燈</li>\r\n</ul>","8 am to 11 pm daily","每日上午8時至晚上11時","2631 4106","Non-smoking","全面禁煙","114-13-41","22-25-10"
"Sha Tin","沙田區","Tsang Tai Uk Recreation Ground","曾大屋遊樂場","Sha Kok Street, Sha Tin","沙田沙角街","MqjUqiMeNr","1","1","<li>Light refreshment kiosk<li>Men's and ladies'  toilets cum changing rooms<li>Lockers<li>Floodlights<li>Barrier Free Facilities: Accessible Toilet, Tactile Guide Path","<li>小食亭 <li>男、女洗手間連更衣室  <li>儲物櫃 <li>泛光燈</li><li>無障礙設施：暢通易達洗手間、觸覺引路帶、觸覺點字及觸覺平面圖","8 am to 11 pm daily","每日上午8時至晚上11時","2698 2648","Non-smoking","全面禁煙","114-11-23","22-22-27"
"Yau Tsim Mong","油尖旺區","Boundary Street Recreation Ground","界限街遊樂場","200 Sai Yee Street, Mong Kok, Kowloon","旺角洗衣街200號 ","2nZ2kYZQiM","1","1","<li>3 outdoor table tennis tables, toilets, changing rooms with lockers are provided in the Recreation Ground.</li><li>The Recreation Ground is located adjacent to Boundary Street Sports Centre No. 1 and Boundary Street Sports Centre No. 2, which offer a booking office, 2 arenas, an activity room, 2 table tennis rooms and 2 squash courts cum activity rooms.</li><li>This court can also be used for playing hockey.</li><li>Barrier Free Facilities: Accessible Toilet, Accessible Changing Room, Tactile Guide Path, Braille Directory Map/Floor Plan","<li>遊樂場內設有3張戶外乒乓球桌、洗手間、更衣室連貯物櫃和殘疾人士更衣室連洗手間</li><li>鄰近界限街一號體育館和界限街二號體育館，館內設有訂場處、2個主場、1個活動室、2個乒乓球室和2個壁球室暨多用途活動室</li><li>此球場可進行曲棍球活動</li><li>無障礙設施：暢通易達洗手間、觸覺引路帶、觸覺點字及觸覺平面圖","8 am to 11 pm daily (1.5 hours per session)","每日上午8時至晚上11時 (以一小時半為1節計算)","2380 9751","","","114-10-17","22-19-34"
"Southern","南區","Wong Chuk Hang Recreation Ground","黃竹坑遊樂場","No. 108 Wong Chuk Hang Road, Aberdeen, Hong Kong","香港香港仔黃竹坑道108號","7jwDlpV2tX","1","1","Men's and ladies'  toilets and changing rooms (including accessible toilets and changing room)","男女洗手間及更衣室(包括暢通易達洗手間及更衣室)","8 am to 11 pm daily","每日上午8時至晚上11時","2555 0103","","","114-10-13","22-14-58"
"Sham Shui Po","深水埗區","Shek Kip Mei Park (Phase III)","石硤尾公園(第三期)","270 Nam Cheong Street, Sham Shui Po, Kowloon","九龍深水埗南昌街270號","YiaaI2jovP","1","1","<li>Spectator stand (with approx. 1440 seats), toilet and changing room facilities\r\n</li><li>Barrier Free Facilities: Accessible Toilet, Tactile Guide Path, Braille Directory Map/Floor Plan</li>","<li>觀眾席(約1440座位)、洗手間及更衣室\r\n</li><li>無障礙設施：暢通易達洗手間、觸覺引路帶、觸覺點字及觸覺平面圖</li>","8 am to 11:00 pm daily<br>(Closed from 8 am to 1:00 pm on Thursday for maintenance)","每日上午8時至晚上11時<br>(逢星期四上午8時至下午1時為保養日場地關閉)","2777 1540","Multi-purposed pitch<br>(1 no. of soccer pitch cum<br>1 no. of rugby pitch)","多用途球場(可作1個足球場/ 1個欖球場使用)","114-10-16","22-20-19"
